rd_ad,room_id,uid,score,dt
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,17573928,3800.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,25921459,5200.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,145526822,2800.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,70649119,1500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,109897713,5500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,66745675,4700.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,211131412,600.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,213044329,5500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,203797479,4000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,83189601,700.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,212453856,4700.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,6632979,5000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,212445696,4500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,213018194,4500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,22399422,5500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,14197450,3500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,212773443,5100.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,130855076,2000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,153829800,1500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,14538224,2600.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,49628420,5300.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,1952732,4500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,4634220,5800.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,95294297,4600.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,89973141,1000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,98970182,2700.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,5765510,3500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,16488578,1000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,174618413,2600.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,40608102,4500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,172989198,3300.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,212573083,4800.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,164973141,4600.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,142411920,3500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,212177581,1100.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,212868336,5000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,17260773,5700.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,177091025,5100.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,190833186,3500.0,20180801
